timestamp,attack_trigger,attack_frequency,attack_amplitude,attack_offset,attack_timediff,attack_recovered,attack_gyro0,attack_gyro1,attack_gyro2,true_gyro0,true_gyro1,true_gyro2
228734639,0,0,0,0,0.004047,0,-0.10181162,0.34190857,0.01516738,0.29264742,-0.044521566,-0.016808417
228738606,0,0,0,0,0.003967,0,-1.0151206,-0.27193666,0.09968723,-0.06029354,0.003340605,-0.027908906
228742630,0,0,0,0,0.004024,0,0.0378288,0.49651146,0.25251195,-0.2371612,-0.053212658,-0.005405768
228746588,0,0,0,0,0.003958,0,0.2744249,0.09571456,-0.5043931,0.1873488,0.113500066,-0.034597524
228750629,0,0,0,0,0.004041,0,-0.57147455,0.4392494,-0.30691028,-0.14810213,-0.059041116,-0.004384141
228754742,0,0,0,0,0.004113,0,-0.16183992,0.04906425,0.3641717,0.09887993,-0.084152,-0.00519499
228758592,0,0,0,0,0.00385,0,-0.62866914,-0.031230012,-0.29464212,0.00687009,0.04883155,-0.038006965
228762627,0,0,0,0,0.004035,0,0.24669342,-0.24534301,-0.01598556,-0.16331796,-0.015444406,-0.007732608
228766618,0,0,0,0,0.003991,0,-0.012762537,0.58207047,0.057437584,0.32370874,0.009264674,-0.008402743
228770647,0,0,0,0,0.004029,0,-0.43146846,0.10893228,0.2166042,-0.24038841,-0.05741076,-0.02473681
228774589,0,0,0,0,0.003942,0,0.9178943,-0.18910398,0.069046445,0.04472073,-0.09165779,-0.009438795
228778634,0,0,0,0,0.004045,0,-0.89009607,0.49105546,0.27009714,0.250243,0.08606606,-0.01707944
228782591,0,0,0,0,0.003957,0,0.947387,0.93439454,0.29139972,-0.2628838,-0.08683398,0.010634568
228786627,0,0,0,0,0.004036,0,-0.2781736,0.726684,-0.103114,0.17901622,-0.102058604,-0.019901903
228791458,0,0,0,0,0.004831,0,0.26806596,-0.19485384,-0.08581,-0.22934003,-0.056596875,-0.02492019
