timestamp,attack_trigger,attack_frequency,attack_amplitude,attack_offset,attack_timediff,attack_recovered,attack_gyro0,attack_gyro1,attack_gyro2,true_gyro0,true_gyro1,true_gyro2
115151460,1,44,2,-1.7173275,0.004005,0.024015322,-0.000689301,0.011615943,0.008688572,0.029711304,-0.015001756,0.0032704226
115155458,1,44,2,-1.6866784,0.003998,0.024165004,-0.00013817873,0.010754029,0.008068312,0.03031107,-0.01542448,0.004567731
115159503,1,44,2,0.22695088,0.004045,0.023927197,-0.00023863191,0.010761438,0.007852633,0.03143353,-0.015960185,0.0026852444
115163492,1,44,2,1.8762919,0.003989,0.024235412,-0.00087001687,0.011719303,0.007618588,0.030642541,-0.014999421,0.0042558
115167459,1,44,2,1.4740441,0.003967,0.024234012,-0.0014211785,0.012041188,0.008240132,0.028296517,-0.01467995,0.004400781
115171456,1,44,2,-0.54658705,0.003997,0.023835063,-0.001292133,0.012782393,0.007495899,0.027524758,-0.014897493,0.0017179662
115175458,1,44,2,-1.9645683,0.004002,0.023835063,-0.0012891152,0.012038871,0.00739212,0.028008226,-0.015213956,0.003326385
115179455,1,44,2,-1.2164776,0.003997,0.024363369,-0.0018462134,0.011082863,0.008229901,0.028706798,-0.014359579,0.0048364364
115183461,1,44,2,0.8763762,0.004006,0.024404213,-0.0013152141,0.010321644,0.008256624,0.029521225,-0.01478401,0.0060333866
115187459,1,44,2,1.9998621,0.003998,0.024479061,-0.0017470941,0.010550865,0.0084456215,0.029105738,-0.014357498,0.005700983
115191474,1,44,2,0.9079363,0.004015,0.024479061,-0.0018476989,0.011309584,0.00811673,0.028719263,-0.01638263,0.004414634
115195458,1,44,2,-1.1756952,0.003984,0.024752066,-0.0009916465,0.011187889,0.008147144,0.029576689,-0.014257226,0.004117261
115199461,1,44,2,-1.9728298,0.004003,0.024867743,0.00018443639,0.012147216,0.00796871,0.028852243,-0.015316811,0.0032532618
115203458,1,44,2,-0.5916259,0.003997,0.024821073,-0.0008957596,0.012678477,0.008468135,0.030307384,-0.013933985,0.0047776997
115207458,1,44,2,1.4418862,0.004,0.02448389,-0.000766788,0.012145953,0.0077269967,0.029448587,-0.013401702,0.0049638143
